IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.130.95,8443,8443,true,SIN,Asia Pacific,Singapore,87,4.42
47.237.11.182,2095,2095,false,SIN,Asia Pacific,Singapore,24,4.41
47.242.36.78,80,80,false,HKG,Asia Pacific,Hong Kong,46,4.41
8.217.221.165,8880,8880,false,HKG,Asia Pacific,Hong Kong,54,4.41
47.237.95.140,8443,8443,true,SIN,Asia Pacific,Singapore,46,4.41
8.219.210.64,2087,2087,true,SIN,Asia Pacific,Singapore,43,4.40
8.217.91.121,80,80,false,HKG,Asia Pacific,Hong Kong,47,4.40
47.237.82.15,2053,2053,true,SIN,Asia Pacific,Singapore,42,4.40
47.236.180.51,2095,2095,false,SIN,Asia Pacific,Singapore,9,4.40
47.237.0.31,2096,2096,true,SIN,Asia Pacific,Singapore,56,4.40
47.237.11.182,2086,2086,false,SIN,Asia Pacific,Singapore,15,4.40
47.242.232.14,8880,8880,false,HKG,Asia Pacific,Hong Kong,54,4.39
8.219.132.64,8443,8443,true,SIN,Asia Pacific,Singapore,50,4.39
8.222.187.4,8880,8880,false,SIN,Asia Pacific,Singapore,3,4.38
47.236.17.193,2082,2082,false,SIN,Asia Pacific,Singapore,22,4.38
47.236.104.11,8080,8080,false,SIN,Asia Pacific,Singapore,15,4.38
47.236.168.17,8080,8080,false,SIN,Asia Pacific,Singapore,14,4.38
47.76.80.72,2086,2086,false,HKG,Asia Pacific,Hong Kong,40,4.38
8.219.66.156,8443,8443,true,NRT,Asia Pacific,Tokyo,130,4.37
8.217.49.34,2052,2052,false,HKG,Asia Pacific,Hong Kong,48,4.37
47.243.173.187,2087,2087,true,HKG,Asia Pacific,Hong Kong,80,4.37
8.210.34.188,2052,2052,false,HKG,Asia Pacific,Hong Kong,38,4.36
8.219.170.232,2053,2053,true,SIN,Asia Pacific,Singapore,95,4.36
47.236.253.41,2083,2083,true,SIN,Asia Pacific,Singapore,31,4.35
47.236.121.23,8443,8443,true,SIN,Asia Pacific,Singapore,101,4.35
8.217.145.40,2086,2086,false,HKG,Asia Pacific,Hong Kong,73,4.35
47.242.252.237,2095,2095,false,HKG,Asia Pacific,Hong Kong,48,4.35
47.243.42.219,2096,2096,true,HKG,Asia Pacific,Hong Kong,72,4.34
8.210.245.224,8080,8080,false,HKG,Asia Pacific,Hong Kong,38,4.34
47.243.74.220,8443,8443,true,HKG,Asia Pacific,Hong Kong,64,4.33
8.217.149.28,80,80,false,HKG,Asia Pacific,Hong Kong,47,4.33
8.222.156.242,8080,8080,false,SIN,Asia Pacific,Singapore,14,4.32
8.219.248.47,2096,2096,true,SIN,Asia Pacific,Singapore,34,4.32
47.76.49.246,80,80,false,HKG,Asia Pacific,Hong Kong,43,4.32
47.236.10.100,2083,2083,true,SIN,Asia Pacific,Singapore,47,4.32
47.236.237.90,8443,8443,true,SIN,Asia Pacific,Singapore,119,4.32
8.210.34.188,2053,2053,true,HKG,Asia Pacific,Hong Kong,47,4.32
47.76.33.40,8880,8880,false,HKG,Asia Pacific,Hong Kong,42,4.31
8.219.60.54,2087,2087,true,SIN,Asia Pacific,Singapore,52,4.31
8.210.203.7,8880,8880,false,HKG,Asia Pacific,Hong Kong,42,4.31
8.218.207.169,80,80,false,HKG,Asia Pacific,Hong Kong,56,4.30
8.217.193.25,8080,8080,false,HKG,Asia Pacific,Hong Kong,52,4.30
47.236.145.85,80,80,false,SIN,Asia Pacific,Singapore,66,4.30
47.242.234.127,2095,2095,false,HKG,Asia Pacific,Hong Kong,47,4.30
8.210.146.108,2052,2052,false,HKG,Asia Pacific,Hong Kong,51,4.30
